user_name,user_id,user_age,user_gender,user_province,user_city,user_introduce,comment,comment_id,praise,date,year,month,day,hour,new_user_id,province_name,cut,emotion_score
w安默拉w,2033412777,0,2,370000,371300.0,,第一次听以为是“一生反复一场大无畏梦境”，特别惊艳，后来看到原句才发现是“奔赴”，又觉得奔赴另有风味,6040284450.0,0,2024-01-15 08:41:00,2024,1,15,8,2033412777,山东省,第一次 听 以为 是   一生 反复 一场 大无畏 梦境   特别 惊艳   后来 看到 原句 才 发现 是   奔赴   又 觉得 奔赴 另有 风味,0.9995536115355768
橘生又落valentia,3727270134,0,0,0,100.0,自在随心，想唱什么就唱什么～,怀念一波入坑曲[多多大哭],6040166966.0,0,2024-01-15 01:48:00,2024,1,15,1,3727270134,,怀念 一波入 坑曲   多多 大哭  ,0.8810191700864409
橘生又落valentia,3727270134,0,0,0,100.0,自在随心，想唱什么就唱什么～,@山风没疯 哈哈哈哈哈哈哈哈哈哈（）,6040164468.0,0,2024-01-15 01:48:00,2024,1,15,1,3727270134,,  山风 没疯   哈哈哈哈 哈哈哈 哈哈哈  ,0.9795410755929627
竹苑Cecilia,6329599584,0,2,360000,361000.0,,情绪内耗就来听琉璃真的可以治愈我,6037418730.0,2,2024-01-10 23:23:00,2024,1,10,23,6329599584,江西省,情绪 内耗 就 来 听 琉璃 真的 可以 治愈 我,0.9389976183437644
清风夜水寒,2073414099,0,0,0,100.0,,有疗愈效果，亲测,6037347603.0,6,2024-01-10 21:10:00,2024,1,10,21,2073414099,,有疗 愈 效果   亲测,0.8813578202454414
乂肀夂,1824914947,18,2,330000,330300.0,……想死,已经……不是三年了，是四年了……,6037275155.0,4,2024-01-10 17:53:00,2024,1,10,17,1824914947,浙江省,已经   不是 三年 了   是 四年 了  ,0.38014730015011455
发雨呆,42012486,0,0,0,100.0,Trance in that rain.,三年了重听这首还是湿润双眸，“偏这人间要苦笑静穆风月顽冥”,6037269592.0,2,2024-01-10 17:42:00,2024,1,10,17,42012486,,三年 了 重听 这首 还是 湿润 双眸   偏 这 人间 要 苦笑 静穆 风月 顽冥  ,0.9761574358256299
月亮来了也不晚安,1439650765,0,2,230000,230700.0,别远离我_,好好听,6036966660.0,1,2024-01-09 22:57:00,2024,1,9,22,1439650765,黑龙江省,好好 听,0.6305226450507164
道静玄,590932819,0,1,820000,820100.0,独与天地精神往来,这首歌真的有够惊艳！,6036280933.0,5,2024-01-08 15:49:00,2024,1,8,15,590932819,澳门特别行政区,这 首歌 真的 有够 惊艳  ,0.9454846638653304
啊哈ixta,1441175035,34,1,340000,340300.0,彷徨在巴黎街头，我不想回家，因为你不在家，便没有家  —雾都千寻,愿你此生尽兴，赤诚善良,6034631792.0,2,2024-01-06 10:48:00,2024,1,6,10,1441175035,安徽省,愿 你 此生 尽兴   赤诚 善良,0.9930024159640679
