user_name,user_id,user_age,user_gender,user_province,user_city,user_introduce,comment,comment_id,praise,date,year,month,day,hour,new_user_id,province_name
w安默拉w,2033412777,0,2,370000,371300.0,,第一次听以为是“一生反复一场大无畏梦境”，特别惊艳，后来看到原句才发现是“奔赴”，又觉得奔赴另有风味,6040284450.0,0,2024-01-15 08:41:00,2024,1,15,8,2033412777,山东省
橘生又落valentia,3727270134,0,0,0,100.0,自在随心，想唱什么就唱什么～,怀念一波入坑曲[多多大哭],6040166966.0,0,2024-01-15 01:48:00,2024,1,15,1,3727270134,
橘生又落valentia,3727270134,0,0,0,100.0,自在随心，想唱什么就唱什么～,@山风没疯 哈哈哈哈哈哈哈哈哈哈（）,6040164468.0,0,2024-01-15 01:48:00,2024,1,15,1,3727270134,
竹苑Cecilia,6329599584,0,2,360000,361000.0,,情绪内耗就来听琉璃真的可以治愈我,6037418730.0,2,2024-01-10 23:23:00,2024,1,10,23,6329599584,江西省
清风夜水寒,2073414099,0,0,0,100.0,,有疗愈效果，亲测,6037347603.0,6,2024-01-10 21:10:00,2024,1,10,21,2073414099,
乂肀夂,1824914947,18,2,330000,330300.0,……想死,已经……不是三年了，是四年了……,6037275155.0,4,2024-01-10 17:53:00,2024,1,10,17,1824914947,浙江省
发雨呆,42012486,0,0,0,100.0,Trance in that rain.,三年了重听这首还是湿润双眸，“偏这人间要苦笑静穆风月顽冥”,6037269592.0,2,2024-01-10 17:42:00,2024,1,10,17,42012486,
月亮来了也不晚安,1439650765,0,2,230000,230700.0,别远离我_,好好听,6036966660.0,1,2024-01-09 22:57:00,2024,1,9,22,1439650765,黑龙江省
道静玄,590932819,0,1,820000,820100.0,独与天地精神往来,这首歌真的有够惊艳！,6036280933.0,5,2024-01-08 15:49:00,2024,1,8,15,590932819,澳门特别行政区
啊哈ixta,1441175035,34,1,340000,340300.0,彷徨在巴黎街头，我不想回家，因为你不在家，便没有家  —雾都千寻,愿你此生尽兴，赤诚善良,6034631792.0,2,2024-01-06 10:48:00,2024,1,6,10,1441175035,安徽省
L5276,2023834320,0,0,0,100.0,5276,太好听了,6034513713.0,4,2024-01-06 01:52:00,2024,1,6,1,2023834320,
代号-决,1469989790,14,1,320000,320500.0,你眼里的星辰大海是我从未见过的皓月明空,我见玫瑰在黎明时绽放，天地间燃起新的希望,6034414688.0,8,2024-01-05 23:09:00,2024,1,5,23,1469989790,江苏省
正版小檀儿,117039551,0,0,0,100.0,你在桥上看风景，看风景人在楼上看你。,新的一年，要先爱自己喔！,6032086013.0,2,2024-01-01 19:40:00,2024,1,1,19,117039551,
别看我名字呐,9025953502,11,2,0,100.0,,qq没有 来网易云听,6031928452.0,1,2024-01-01 15:05:00,2024,1,1,15,9025953502,
何梓熙很nice,1761933437,33,1,430000,430400.0,你指尖跃动的电光，是我此生不变的信仰，唯我超电磁炮永世长存你指尖跃动的电光，是我此生不变的信仰，唯我超电磁炮永世长存。,我也是，哈哈（?ò ? ó?）,6031853415.0,1,2024-01-01 12:49:00,2024,1,1,12,1761933437,湖南省
天將明YS,3397994055,21,1,460000,469032.0,一生奔赴一场大无畏梦境，世人轻慢或艳羡着你。,听着琉璃跨年[多多大笑],6031541053.0,17,2023-12-31 23:55:00,2023,12,31,23,3397994055,海南省
烧煤油的小笼包,572377197,19,1,110000,110101.0,心在甲烷中炽烈，一盏蓝焰冬已竭,航天爱好者特有的年度曲目,6030779046.0,0,2023-12-30 18:05:00,2023,12,30,18,572377197,北京市
啊萸er,553987804,0,0,1000000,1000100.0,我是凭我的幻想在周游,从初中喜欢到大一[多多比耶],6030137001.0,2,2023-12-29 12:22:00,2023,12,29,12,553987804,
