流浪不分远方,1908603437,0,2,440000,440300,只想记住快乐和知识点  把悲伤快乐藏进歌声里,佛教的,6039850063,0,2024-01-14 18:43:53
他的GINGKO,1490791161,2,2,1000000,1005300,一片银杏,是上官婉儿的墓志铭,6039808272,1,2024-01-14 17:56:11
我才是语亦,73607678,0,0,320000,320100,我才是语亦,你小子！！！,6039716801,0,2024-01-14 15:46:38
jwety,8853023476,14,2,0,100,:D,就我一个人觉得这个封面很像李莲花吗😭,6039683809,2,2024-01-14 14:59:52
影武者laz,1441068485,27,2,510000,510100,,是杜甫的《又呈吴郎》吧,6039627268,1,2024-01-14 13:32:52
他的GINGKO,1490791161,2,2,1000000,1005300,一片银杏,潇湘水断，宛委山倾。珠沉圆折，玉碎连城。甫瞻松槚，静听坟茔。千年万岁，椒花颂声。,6039219732,2,2024-01-13 23:09:48
掉进糖罐里的巧克力-,355701143,19,2,0,100,只要有想见的人，便不再是孤身一人。,脑子里全是招摇里许凯的脸[流泪][流泪]果然期末周除了学习什么都喜欢[流泪][流泪],6037879241,2,2024-01-11 19:35:44
nostalllgic_,1352284664,18,1,360000,360700,遗憾都会变成收获.,这首和锦鲤抄是我小学时候的最爱[流泪]没想到再听居然是七年后了,6037860286,4,2024-01-11 19:09:39
D黑羽,380107317,0,2,510000,510100,,过去这么久了啊，初一时好爱听，现在已经大三了[多多大哭],6037459457,2,2024-01-11 00:25:05
不施先生,56960265,35,2,350000,350900,危险的是，玫瑰色的你。,二胡好听,6036800598,1,2024-01-09 16:33:23
tong笙歌,1780917146,0,0,370000,370900,,这个歌词之前就是这样吗，都不同步了,6036473773,3,2024-01-08 22:05:28
江溶月,1344857708,0,0,0,100,一边腐烂一边生长。,99999,6036015857,0,2024-01-08 11:43:13
无处寻风_,269891793,0,2,440000,440300,,我居然会对这首歌这么熟悉,6035690720,1,2024-01-07 23:30:00
杏果桂糖糕,2013992811,0,0,340000,341500,,谢谢，删掉重新下载后正常了,6035653835,0,2024-01-07 22:31:02
polarbearzjf,73025263,0,0,320000,320100,,要一直在一起呀,6035281809,0,2024-01-07 11:22:04
Enkidu丷,1681766847,19,2,330000,330800,铁血乙女人,最喜欢的一首词,6034200473,2,2024-01-05 16:18:33
name-Sky,1389621502,0,1,0,100,咯咯咯,6颖我后悔了[多多大哭],6033282504,1,2024-01-03 19:50:25
飘飘飘飘飘何所似,1371233575,0,0,0,100,,正常进来安慰一下哈哈哈哈结果悲伤戛然而止 ，恭喜恭喜！！！！,6033054798,0,2024-01-03 13:28:07
玖蒯酒苞呦,1782184472,0,1,1000000,1004900,,可能意思是be吧,6032100715,0,2024-01-01 19:47:29
绝哀毓,353506390,0,2,310000,310107,,yyds,6032053093,1,2024-01-01 19:42:38
心城扫地工,1401049900,0,2,0,100,这个小盒才是你永远的家啊,神中神,6030120402,2,2023-12-29 11:28:32
杜馒头小姐,31578248,32,2,110000,110101,任何东西都不值得拥有除了自由的灵魂,只有遗憾、悲凉才能体现伟大的爱吗。,6029492811,6,2023-12-28 11:24:38
请输入我的称呼_哎呀已被占用,1691543456,0,2,360000,360100,,你是对的,6028340648,0,2023-12-26 16:08:48
愚者_kVpr,4909013518,0,1,370000,370300,,恭喜恭喜，祝你们长长久久！,6027805340,0,2023-12-25 15:47:33
银河渐微临枝鹊飞,1660533619,0,0,0,100,会者定离，一期一祈,同在现场，听到不老梦我也哭了，真的于万人中万幸得以相逢,6027687433,1,2023-12-25 09:48:26
-韩逍遥-,312354124,0,0,0,100,不浪漫者的情书,“世上没有什么假如。”浅显易懂，连稚子也明白的道理，可我却想不明白。这世上若是有“假如”便好了。这样，她就不会停在那里。可是，没有“假如”。她在远方，在他乡，在心上。愿那天上的明月，陪伴着你永恒的星光。,6026974048,31,2023-12-24 08:33:27
Sakura_星,1706372622,19,0,0,100,晚安,纯音 杰伦 古风,6026771430,0,2023-12-23 23:24:18
晌秋,571462199,21,1,410000,411400,,听到这首高中喜欢的歌，忽然想起了当时的同桌，把不老梦推给她，她也很喜欢听，想告诉她想起她了，但看了她的动态，看到她现在的生活，忽然感觉好像只有我一个人还活在过去,6026441196,15,2023-12-23 10:23:33
