不食人间烟火而已,512338767,22,2,210000,210800,,这首太好听了，刚出的时候还没太听懂，最近才细看,6039408199,1,2024-01-14 04:09:09
醒骨望春,1770245970,21,1,210000,210100,你一寐我梦如飞，你一醒我魂皆归,啥意思,6039107514,1,2024-01-13 20:51:01
最猴的猴儿,1577489728,0,0,0,100,Take it easy.,没有工作，觉得自己的生活很黑暗很焦虑。希望能快点熬过去。,6039088860,1,2024-01-13 20:19:42
阿勤嘿嘿嘿,1389765749,24,2,370000,370100,青年干饭王,我该如何追问，最热烈青春,6038769422,3,2024-01-13 07:38:14
studyhardforthedream,1401743455,0,1,0,100,,临姐四专目前最爱的一首！也有三专琉璃那种大无畏风格,6038334174,2,2024-01-12 12:20:38
墨默陌水,1735830828,19,2,410000,410100,人间是万象横看，竖成诗篇。,爱死编曲了,6037596478,1,2024-01-11 07:23:38
-玫瑰公爵小姐的望眼欲穿-,355665264,23,0,330000,330100,,西湖边有秋瑾墓好像..,6037475063,1,2024-01-11 00:46:50
捂住耳朵谢绝,274411502,27,1,360000,360300,人生之所幸，饱餐与被爱,我可为爱翻高山，越阔海，这辈子也只想为爱而活。只是，在遥远未来，真的会有那么一个人，孑然一身为我等待吗？,6037316744,1,2024-01-10 19:48:47
封印寂寞sqh,1441175021,40,2,1000000,1001900,,好诗！但似乎不是这首,6037146428,1,2024-01-10 11:00:52
玄澜瑾,1319847282,0,2,340000,340100,Die Luft der Freiheit weht.,灰原穷的编曲永远有梦幻灵动的特色 太好听了,6036966488,2,2024-01-09 22:55:34
sgjncvjj,1564889438,0,0,0,100,,她们是英雌,6036779700,1,2024-01-09 15:34:33
醒骨望春,1770245970,21,1,210000,210100,你一寐我梦如飞，你一醒我魂皆归,蝶恋花·代吕碧城赋作于西安场《沧海飞尘》后词笔重温旧忆醒，历历寒川，冷月磨天镜。可叹冬来无雁影，万纸思绝飞雪岭。远寄相思空记省，恨渺音尘，情字几成病。两地沉吟心共景，来日白头雪中定。,6036681600,3,2024-01-09 10:35:54
studyhardforthedream,1401743455,0,1,0,100,,加一，目前四专最爱这一首；穷叔也是永远滴神！,6035712527,1,2024-01-07 23:58:58
昵称已被占用-QAQ,2122735093,0,2,0,100,等风来 不如追风去,我心里四专目前的top1，果然还得是穷叔的编曲[多多可怜],6035107266,5,2024-01-07 01:46:13
亦时泠雨,554701442,21,2,500000,500108,桾薇，门马，银临的迷妹(手动菜灰🌚),吕碧城和秋瑾，可以去B站这首歌的pv下面，我有科普,6034099491,0,2024-01-05 12:52:58
littlelittlerice,417997934,26,2,640000,640100,little little cute rice五行缺水,这首歌背景什么，很好奇，一直找不到,6034081057,0,2024-01-05 12:20:30
KassUSa宇佐,386970492,0,1,0,100,做我想做，爱好不会成为饭碗，其他我不在意，我只想一点一点进步，直到有一天做出让自己满意的东西,drill？,6033708976,1,2024-01-04 17:52:00
silhouettes__,317821979,25,1,500000,500101,Money Power Glory.,这个鼓听着很drill啊,6033135628,2,2024-01-03 16:49:52
长水天涟,4872437846,0,0,620000,620100,,这首质量太高了，以后多让灰灰作曲[星星眼][星星眼],6032585339,7,2024-01-02 17:29:46
浮山生,1539485349,17,1,330000,330100,若有知音见采，不辞遍唱阳春,这首的笛声真的很有感觉！,6031110817,3,2023-12-31 09:40:07
pokuds,1863795262,30,1,440000,440100,心有猛虎，细嗅蔷薇,希望银临师姐天天开心，提前在这里祝你新年快乐，你一定要快乐啊师姐[多多大笑],6031042128,4,2023-12-31 02:56:04
一人之间1996,1749618467,0,1,320000,320300,,从无题雪等了四年了，女神太棒了,6030443836,3,2023-12-30 01:00:13
秒针失格,1529456131,20,2,510000,511500,,感觉新专每首的立意和主题都好新颖好特别好喜欢😍,6028874957,3,2023-12-27 09:48:14
东木依涵,1920229200,0,2,330000,330200,当我的敌人，战胜我的固执。,太好听了 也喜欢故事传递的情感,6027835822,2,2023-12-25 16:57:25
Omarion1021,105870664,0,1,0,100,,开场甚至给了我一种月華の螺旋的怀古感觉，真是太赞了！,6027802157,3,2023-12-25 15:31:29
心轩梦恋,1441142256,28,2,640000,640500,,愿风能吹散你的烦恼,6027770023,1,2023-12-25 13:58:55
天將明YS,3397994055,21,1,460000,469032,一生奔赴一场大无畏梦境，世人轻慢或艳羡着你。,我倒是觉得那里最好听，有种宿命感[多多耍酷],6027425824,1,2023-12-24 23:42:10
ikun的双木,1512769113,0,1,460000,469005,韩流算什么，我们坤流才是最吊的。,好听好听好听好听好听好听,6027264822,5,2023-12-24 19:58:57
GURRIN,597196256,25,1,0,100,无限扩大的思维，带着你的灵魂，飞跃……,思梦乡园，浮尘入海,6027199001,4,2023-12-24 17:39:34
削个椰子普梨斯,63131352,29,1,500000,500101,不负韶华，流光溢彩,啊银临子从不让人失望,6026722793,3,2023-12-23 21:53:06
南纬66海岸线,282064165,45,1,500000,500101,,词曲很好 就是最后高潮部分 人声快被淹没了啊 伴奏元素太多了 听不过来了 太纷繁了,6026347480,4,2023-12-23 01:43:27
烟岚离箫,512822361,22,1,350000,350100,欢乐沙雕,年度歌曲哩,6025963158,5,2023-12-22 10:43:56
