看水不是水_wxl,321202445,0,2,0,100,摸鱼是一种快乐,好词,6040078939,0,2024-01-14 23:41:16
青檬片_xd,3297673356,19,1,0,100,埋头苦干，不问前程,时间过得真快，，[流泪],6039086675,1,2024-01-13 20:24:31
发呆呆的小绵羊,8433726175,0,2,0,100,,再听这首歌真的仿佛又回到初中暑假的深夜，吹着风扇，横躺在床上看小说放一整晚的流光记听的时光，时间过得真快阿[可爱],6038626235,7,2024-01-12 22:45:18
从此醉生梦死,1571095003,1,2,420000,420500,,我也是🥲,6038257886,1,2024-01-12 09:14:17
当代阿基米德后人,1726849707,0,2,0,100,微 xy15129037006,郎骑竹马来，绕床弄青梅。同居长干里，两小无嫌猜。,6037965211,2,2024-01-11 21:31:52
艾--桑,317043866,0,2,0,100,因为粉丝所以讨厌,怎么听怎么好听[心心],6037540398,1,2024-01-11 03:51:02
潘志2107,1298085034,0,1,440000,440600,,好听哦,6037384168,1,2024-01-10 22:18:44
Piko_MMD,110840461,0,0,440000,440100,,应该是“重逢佳期”吧？,6037347164,2,2024-01-10 21:04:06
潜在的异族,70758946,35,1,340000,340200,,时光不再,6037316183,1,2024-01-10 19:54:51
梅溪湖未来的金主爸爸,624069584,0,2,140000,140100,,➕1 同样的歌词本同样的怀念,6036932768,2,2024-01-09 21:47:47
梅溪湖未来的金主爸爸,624069584,0,2,140000,140100,,天哪6年了,6036931231,3,2024-01-09 21:47:14
佔佑,1546842497,0,0,0,100,一生所求 致富与自由,跟那时的体会真的不同了,6036723173,2,2024-01-09 12:44:39
恶童612,56065096,0,2,310000,310101,死于2019年1月27日,应该很多人都这么觉得 只是没说哈哈,6036696357,0,2024-01-09 11:12:38
月间衹里子,8903947678,19,2,1000000,1000500,在这里没有人认识我！,就是来找和我也这样觉得的人,6036693395,0,2024-01-09 11:11:57
恶童612,56065096,0,2,310000,310101,死于2019年1月27日,是的宝子 我觉得一模一样[惶恐],6036694275,0,2024-01-09 11:10:37
月间衹里子,8903947678,19,2,1000000,1000500,在这里没有人认识我！,是那个你就是我的风景吗我也觉得特别像，那个听到的时候我还以为是流光记,6036695233,0,2024-01-09 11:09:47
