笙平念卿,5150603062,15,0,330000,330100,无悲亦无喜。,恭喜恭喜呀,6040850787,0,2024-01-16 17:01:28
KKKK_9cDU,7793829297,17,1,210000,210100,。。。。。。,暴龙战士,6040798672,0,2024-01-16 13:52:20
累哭少年郎,8390699246,0,0,0,100,,让你日思夜想的人 是谁,6040764603,1,2024-01-16 11:57:39
回忆杀青_,9042988937,0,0,0,100,,我,6040753287,0,2024-01-16 11:08:04
少吹集合哨,2083403017,19,1,430000,430100,光荣在于漫长，艰巨在于平淡。,累哭少年郎,6040742577,3,2024-01-16 10:29:42
热爱小张__,133868167,22,1,330000,330500,总有不期而遇的温柔和生生不息的希望,今夕是何年！！！！！,6040725839,1,2024-01-16 09:03:55
Ovo许恋,8372245715,14,2,220000,220100,,我好像在放弃你 又好像在等你,6040713526,0,2024-01-16 08:22:07
Ovo许恋,8372245715,14,2,220000,220100,,委屈怎么讲 你只会觉得 我爱哭 还烦人,6040715327,0,2024-01-16 08:21:52
Ovo许恋,8372245715,14,2,220000,220100,,新的人一直来 旧的人还在心里没有退场,6040716937,0,2024-01-16 08:21:31
Ovo许恋,8372245715,14,2,220000,220100,,你不想跟我有以后 那就归零好了,6040714360,0,2024-01-16 08:21:25
Ovo许恋,8372245715,14,2,220000,220100,,那些誓言我替你抹去 这一千根针我替你吞,6040713502,0,2024-01-16 08:21:14
Ovo许恋,8372245715,14,2,220000,220100,,时间不会颠倒 我们也不会和好,6040715303,0,2024-01-16 08:21:01
半支烟180610,1483476260,0,1,330000,330100,,怎么可以这么美！,6040708036,0,2024-01-16 07:32:14
梦见貘_,2140393278,0,1,370000,370100,,牵丝戏是老艺人和木偶的故事吧，暖矣，孤矣,6040702503,0,2024-01-16 07:06:34
鱼七_2y,1507057836,19,2,110000,110101,所见即我,风雪依稀秋白发尾，灯火葳蕤揉皱你眼眉。,6040668762,0,2024-01-16 01:56:39
CookieYo-,584830151,25,1,420000,420100,,平安健康！祝阿姨长命百岁,6040661789,0,2024-01-16 01:30:18
慕芹_pm8Q,9087555270,0,2,0,100,,+1,6040656443,0,2024-01-16 01:23:55
如也_Y,3257782122,0,2,0,100,是的，我很酷,半壶纱有点e[痛苦][痛苦],6040611218,0,2024-01-15 23:43:46
爱吃香莱的娃儿,9046214344,0,0,0,100,,加一,6040530618,0,2024-01-15 21:11:50
尚青云____,4996363474,14,2,230000,231200,,你在没有遇到喜欢的男孩之前都以为你是异性恋,6040520605,0,2024-01-15 20:48:12
累哭少年郎,8390699246,0,0,0,100,,马上寒假了开心还是难过,6040503617,1,2024-01-15 20:10:12
累哭少年郎,8390699246,0,0,0,100,,什么网名 一看就是小学生.,6040502997,2,2024-01-15 20:00:15
晚风147,6349129990,53,0,0,100,,十1,6040443898,0,2024-01-15 17:00:10
苦夏吗不是吧,1356384512,0,2,0,100,丢掉幻想，准备斗争,日推听到这首感慨“今夕是何年”,6040396650,2,2024-01-15 14:32:39
浮生未歇170526,493210009,0,2,0,100,如若长发不及腰，也要归来可好😻😻😻😻😻,十1,6040385384,0,2024-01-15 13:49:24
终极柔柔,3917108893,0,0,230000,230500,,忒纯爱，哭了,6040382869,0,2024-01-15 13:31:28
采朵花花送给你,1757598746,21,2,500000,500101,三千长阶血未尽，那是他带你回家的路,2024打卡,6040323126,2,2024-01-15 10:32:49
真谛190121,1740181972,0,1,0,100,,天使降临,6040315262,0,2024-01-15 10:09:25
小趴菜_wD06,5211430678,0,2,440000,445200,,明明他总是伤害你 可你却不放手,6040075297,0,2024-01-14 23:38:44
沐雨之恒,499207728,0,1,140000,140200,耳机一戴，谁都不爱,有时候刹那的顿悟，确实会改变一个人，以前老听说谁想不开出家了，想不开自杀了等等，我现在倒觉得他们是想开了，然后选择了自己的方式，每个独立的思维和境界，都值得尊重。,6040035304,3,2024-01-14 22:50:22
林彦希的身法小少爷,8118531855,13,1,440000,440600,一直在等她,听得我想哭😭,6040031317,0,2024-01-14 22:43:55
娜娜耶_,1461292209,20,2,530000,530100,我说我只有你了 你说那样好可怜,这么多年 听了那么多古风歌  还是这首最合我心❤️,6039945337,0,2024-01-14 20:55:52
yoga子珺,1876313430,0,2,440000,440100,狼道，我即是狼,我不知道什么是爱，但我知道我的心，你就像一个无法困住的猫儿，如果此生还能再相识相知，也忘此生还可再相守，反反复复周而复始。,6039923982,0,2024-01-14 20:26:15
鲸鱼马戏团_,3859626369,18,2,220000,220700,挑雪填井,竟然又是银临老师的歌！！,6039897501,0,2024-01-14 19:56:08
lyj钰杰,8930179042,0,0,0,100,,十1,6039841973,1,2024-01-14 18:31:21
wukaiju,9039153559,21,1,520000,520100,,[多多耍酷],6039794495,0,2024-01-14 17:40:34
閖柒,293862465,0,2,0,100,回见,一眨眼这么多年了,6039659986,4,2024-01-14 14:25:01
艹啊啊啊啊啊啊啊啊啊啊啊啊,3240853976,0,2,440000,440300,,恭喜啊,6039647906,0,2024-01-14 14:06:04
不是说说而以zZ,1441168809,31,1,510000,510100,这不科学！！！,我喜欢你 不如怀念在心,6039635094,0,2024-01-14 13:40:58
云村村民169598644557119,8878697372,0,0,0,100,,恭喜(*^_^*),6039501695,0,2024-01-14 10:35:39
累哭少年郎,8390699246,0,0,0,100,,女生敢不敢发照片 男生回复带走.,6039441432,1,2024-01-14 08:16:04
墨棠Monste,1698997647,19,1,370000,370100,雨中灯市欲眠 原已萧萧数年,不是的,6039346344,0,2024-01-14 01:42:51
你的钢刀妹妹,4938553034,17,2,410000,410100,董亚千圈外女友,我这辈子都在爱而不得,6039322261,0,2024-01-14 01:07:27
你的钢刀妹妹,4938553034,17,2,410000,410100,董亚千圈外女友,这辈子只爱他一个,6039318730,0,2024-01-14 01:05:16
银城nice,137227446,0,1,0,100,脱了长衫 啥也不是,我我我我我我我[大笑],6039276535,0,2024-01-14 00:11:34
秋墨橙,5014883960,0,0,0,100,如果心中没有善恶的标尺，努力就会错了方向。舍本逐末，变成追逐暴力的俗人,愿世人久安,6039222949,0,2024-01-13 23:08:06
艾蒙Isabel,1362405036,27,2,510000,510100,,真好听,6039201467,0,2024-01-13 22:46:34
望周温_Z,8977858555,0,0,0,100,,我我我 我好喜欢这首歌,6039153947,0,2024-01-13 21:46:47
防--情,6447711220,16,2,530000,532900,初中生,是老歌变好听了还是回忆加分,6039105577,1,2024-01-13 20:49:17
徐晚棠的意难平,1671639905,0,0,350000,350500,从什么时候开始，怀念过往的平淡忧伤，从什么时候开始，厌恶现在的迷离喧嚣。困住自己的是过往，走不出过往的是心牢。打不开的心牢是因为把钥匙丢在了过往。,开业了吗？,6039099983,0,2024-01-13 20:37:27
初见时青涩,3882217086,17,1,340000,341300,我喜欢.夏日的晚风，秋日的落叶，冬日的暖阳与辉夜,恭喜,6039064777,0,2024-01-13 19:42:01
谢家七少X,8166718848,17,0,0,100,,唉,6039052823,0,2024-01-13 19:23:59
陪你看遍人间,3993162541,0,1,320000,320100,,留,6039027436,0,2024-01-13 18:46:15
用户8086483314,8086483314,0,0,0,100,,恭：,6039015564,0,2024-01-13 18:25:22
用户8086483314,8086483314,0,0,0,100,,+1,6039017455,0,2024-01-13 18:24:34
左手饥荒,7990081156,0,0,0,100,,我爱你倒不如尘封为回忆,6039014711,1,2024-01-13 18:24:14
东监区苏哥123,1328130844,20,2,640000,640300,而今才道当时错，心绪凄迷。红泪偷垂，满眼春风百事非。情知此后来无计，强说欢期。一别如斯，落尽梨花月又西。,chī mèi,6039006141,0,2024-01-13 17:59:52
大提琴说旋律说唱_0,8993077419,0,0,0,100,,照片：一张自己喜欢的自拍bgm：虚拟文案：生活不是电影  幸福源于珍惜.,6038958582,0,2024-01-13 16:22:32
秋辞依,2124534435,0,0,0,100,,恭喜！接我妈妈也这样[多多大笑]！,6038942140,0,2024-01-13 15:42:22
烂于,7798864061,0,2,0,100,我们擦肩而过仿佛没爱过,一天天净会惹我生气,6038921359,0,2024-01-13 14:52:58
累哭少年郎,8390699246,0,0,0,100,,各位 模仿你班主任说一句话吧.,6038921140,1,2024-01-13 14:49:35
